{ data: 0.000976562, last: 0 }
 { data: 0.0234375, last: 0 }
 { data: 0.0771484, last: 0 }
 { data: 0.0996094, last: 0 }
 { data: 0.00292969, last: 0 }
 { data: 0.00195312, last: 0 }
 { data: 0.000976562, last: 0 }
 { data: 0.0302734, last: 0 }
 { data: 0.0078125, last: 0 }
 { data: 0.0146484, last: 0 }
 { data: 0.000976562, last: 0 }
 { data: 0.0234375, last: 0 }
 { data: 0.0771484, last: 0 }
 { data: 0.0996094, last: 0 }
 { data: 0.00292969, last: 0 }
 { data: 0.00195312, last: 0 }
 { data: 0.000976562, last: 0 }
 { data: 0.0302734, last: 0 }
 { data: 0.0078125, last: 0 }
 { data: 0.0146484, last: 0 }
 { data: 0.000976562, last: 0 }
 { data: 0.0234375, last: 0 }
 { data: 0.0771484, last: 0 }
 { data: 0.0996094, last: 0 }
 { data: 0.00292969, last: 0 }
 { data: 0.00195312, last: 0 }
 { data: 0.000976562, last: 0 }
 { data: 0.0302734, last: 0 }
 { data: 0.0078125, last: 0 }
 { data: 0.0146484, last: 0 }
 { data: 0.000976562, last: 0 }
 { data: 0.0234375, last: 0 }
 { data: 0.0771484, last: 0 }
 { data: 0.0996094, last: 0 }
 { data: 0.00292969, last: 0 }
 { data: 0.00195312, last: 0 }
 { data: 0.000976562, last: 0 }
 { data: 0.0302734, last: 0 }
 { data: 0.0078125, last: 0 }
 { data: 0.0146484, last: 1 }
 
{ data: 0.00488281, last: 0 }
 { data: 0.00390625, last: 0 }
 { data: 0.0146484, last: 0 }
 { data: 0.0390625, last: 0 }
 { data: 0.00390625, last: 0 }
 { data: 0, last: 0 }
 { data: 0.00390625, last: 0 }
 { data: 0.0322266, last: 0 }
 { data: 0.0302734, last: 0 }
 { data: 0.0605469, last: 0 }
 { data: 0.00488281, last: 0 }
 { data: 0.00390625, last: 0 }
 { data: 0.0146484, last: 0 }
 { data: 0.0390625, last: 0 }
 { data: 0.00390625, last: 0 }
 { data: 0, last: 0 }
 { data: 0.00390625, last: 0 }
 { data: 0.0322266, last: 0 }
 { data: 0.0302734, last: 0 }
 { data: 0.0605469, last: 0 }
 { data: 0.00488281, last: 0 }
 { data: 0.00390625, last: 0 }
 { data: 0.0146484, last: 0 }
 { data: 0.0390625, last: 0 }
 { data: 0.00390625, last: 0 }
 { data: 0, last: 0 }
 { data: 0.00390625, last: 0 }
 { data: 0.0322266, last: 0 }
 { data: 0.0302734, last: 0 }
 { data: 0.0605469, last: 0 }
 { data: 0.00488281, last: 0 }
 { data: 0.00390625, last: 0 }
 { data: 0.0146484, last: 0 }
 { data: 0.0390625, last: 0 }
 { data: 0.00390625, last: 0 }
 { data: 0, last: 0 }
 { data: 0.00390625, last: 0 }
 { data: 0.0322266, last: 0 }
 { data: 0.0302734, last: 0 }
 { data: 0.0605469, last: 1 }
 
{ data: 0.00195312, last: 0 }
 { data: 0.00292969, last: 0 }
 { data: 0.00488281, last: 0 }
 { data: 0.015625, last: 0 }
 { data: 0.00585938, last: 0 }
 { data: 0, last: 0 }
 { data: 0.000976562, last: 0 }
 { data: 0.0185547, last: 0 }
 { data: 0.0146484, last: 0 }
 { data: 0.015625, last: 0 }
 { data: 0.00195312, last: 0 }
 { data: 0.00292969, last: 0 }
 { data: 0.00488281, last: 0 }
 { data: 0.015625, last: 0 }
 { data: 0.00585938, last: 0 }
 { data: 0, last: 0 }
 { data: 0.000976562, last: 0 }
 { data: 0.0185547, last: 0 }
 { data: 0.0146484, last: 0 }
 { data: 0.015625, last: 0 }
 { data: 0.00195312, last: 0 }
 { data: 0.00292969, last: 0 }
 { data: 0.00488281, last: 0 }
 { data: 0.015625, last: 0 }
 { data: 0.00585938, last: 0 }
 { data: 0, last: 0 }
 { data: 0.000976562, last: 0 }
 { data: 0.0185547, last: 0 }
 { data: 0.0146484, last: 0 }
 { data: 0.015625, last: 0 }
 { data: 0.00195312, last: 0 }
